PhraseId,Sentiment
156061,3
156062,3
156063,1
156064,3
156065,1
156066,1
156067,1
156068,1
156069,2
156070,1
156071,3
156072,1
156073,1
156074,3
156075,1
156076,3
156077,1
156078,3
156079,3
156080,1
156081,1
156082,1
156083,3
156084,1
156085,1
156086,1
156087,1
156088,1
156089,1
156090,1
156091,1
156092,3
156093,2
156094,2
156095,1
156096,2
156097,3
156098,3
156099,3
156100,3
156101,1
156102,3
156103,1
156104,1
156105,1
156106,3
156107,1
156108,3
156109,1
156110,3
156111,2
156112,1
156113,2
156114,2
156115,3
156116,3
156117,3
156118,1
156119,1
156120,1
156121,2
156122,2
156123,2
156124,1
156125,2
156126,3
156127,3
156128,3
156129,1
156130,3
156131,3
156132,2
156133,1
156134,1
156135,2
156136,3
156137,1
156138,3
156139,3
156140,3
156141,3
156142,1
156143,2
156144,2
156145,3
156146,3
156147,3
156148,3
156149,3
156150,1
156151,2
156152,3
156153,3
156154,1
156155,1
156156,1
156157,1
156158,1
156159,1
156160,0
156161,3
156162,1
156163,3
156164,1
156165,3
156166,1
156167,1
156168,1
156169,0
156170,0
156171,3
156172,3
156173,1
156174,3
156175,3
156176,0
156177,3
156178,1
156179,1
156180,1
156181,1
156182,1
156183,1
156184,1
156185,3
156186,0
156187,0
156188,0
156189,1
156190,0
156191,1
156192,3
156193,3
156194,1
156195,1
156196,1
156197,1
156198,1
156199,1
156200,1
156201,1
156202,1
156203,1
156204,1
156205,1
156206,4
156207,1
156208,1
156209,3
156210,3
156211,1
156212,1
156213,1
156214,1
156215,1
156216,3
156217,3
156218,1
156219,3
156220,1
156221,3
156222,3
156223,0
156224,0
156225,0
156226,1
156227,1
156228,1
156229,0
156230,1
156231,3
156232,1
156233,3
156234,1
156235,3
156236,3
156237,3
156238,3
156239,2
156240,3
156241,3
156242,3
156243,3
156244,3
156245,2
156246,3
156247,1
156248,1
156249,4
156250,3
156251,3
156252,2
156253,2
156254,2
156255,2
156256,2
156257,2
156258,2
156259,2
156260,3
156261,3
156262,3
156263,3
156264,3
156265,1
156266,3
156267,3
156268,3
156269,2
156270,2
156271,1
156272,3
156273,1
156274,3
156275,3
156276,3
156277,3
156278,1
156279,1
156280,1
156281,1
156282,1
156283,1
156284,1
156285,1
156286,3
156287,3
156288,3
